Manufacturer,Model,Code,Type,Engine Type
BELL,Airacobra,P39,Fixed-Wing,Piston
BELL,BigLifter,B214,Helicopter,Turboprop/Turboshaft
BELL,CH-118,UH1,Helicopter,Turboprop/Turboshaft
BELL,CH-136,B06,Helicopter,Turboprop/Turboshaft
BELL,CH-139,B06,Helicopter,Turboprop/Turboshaft
BELL,CH-146 Griffon,B412,Helicopter,Turboprop/Turboshaft
BELL,COH-58,B06,Helicopter,Turboprop/Turboshaft
BELL,Combat Scout,B06,Helicopter,Turboprop/Turboshaft
BELL,Creek,B06,Helicopter,Turboprop/Turboshaft
BELL,CUH-1H,UH1,Helicopter,Turboprop/Turboshaft
BELL,EH-1 Iroquois,UH1,Helicopter,Turboprop/Turboshaft
BELL,GlobalRanger,B429,Helicopter,Turboprop/Turboshaft
BELL,Griffin,B412,Helicopter,Turboprop/Turboshaft
BELL,Griffon,B412,Helicopter,Turboprop/Turboshaft
BELL,HH-1 Iroquois,UH1,Helicopter,Turboprop/Turboshaft
BELL,Arapaho (412),B412,Helicopter,Turboprop/Turboshaft
BELL,Arapaho (RH-70),B407,Helicopter,Turboprop/Turboshaft
BELL,HH-13,B47J,Helicopter,Piston
BELL,Huey,UH1,Helicopter,Turboprop/Turboshaft
BELL,HueyCobra,HUCO,Helicopter,Turboprop/Turboshaft
BELL,Iroquois,UH1,Helicopter,Turboprop/Turboshaft
BELL,Isfahan,B214,Helicopter,Turboprop/Turboshaft
BELL,JetRanger,B06,Helicopter,Turboprop/Turboshaft
BELL,Kingcobra,P63,Fixed-Wing,Piston
BELL,Kiowa,B06,Helicopter,Turboprop/Turboshaft
BELL,Kiowa Warrior,B06,Helicopter,Turboprop/Turboshaft
BELL,LongRanger,B06,Helicopter,Turboprop/Turboshaft
BELL,OH-13 Sioux,B47G,Helicopter,Piston
BELL,OH-58 Kiowa,B06,Helicopter,Turboprop/Turboshaft
BELL,OH-58 Kiowa Warrior,B06,Helicopter,Turboprop/Turboshaft
BELL,P-39 Airacobra,P39,Fixed-Wing,Piston
BELL,P-63 Kingcobra,P63,Fixed-Wing,Piston
BELL,Ranger,B47J,Helicopter,Piston
BELL,SeaRanger,B06,Helicopter,Turboprop/Turboshaft
BELL,Sentinel,B412,Helicopter,Turboprop/Turboshaft
BELL,SH-1 Iroquois,UH1,Helicopter,Turboprop/Turboshaft
BELL,Sioux,B47G,Helicopter,Piston
BELL,SuperCobra,SUCO,Helicopter,Turboprop/Turboshaft
BELL,SuperTransport,BSTP,Helicopter,Turboprop/Turboshaft
BELL,TAH-1 HueyCobra,HUCO,Helicopter,Turboprop/Turboshaft
BELL,TH-1E Iroquois,UH1,Helicopter,Turboprop/Turboshaft
BELL,ARH-70 Arapaho,B407,Helicopter,Turboprop/Turboshaft
BELL,YRH-70 Arapaho,B407,Helicopter,Turboprop/Turboshaft
BELL,TH-1F Iroquois,UH1,Helicopter,Turboprop/Turboshaft
BELL,TH-1H Iroquois,UH1,Helicopter,Turboprop/Turboshaft
BELL,TH-1L Iroquois,UH1,Helicopter,Turboprop/Turboshaft
BELL,TH-1S HueyCobra,HUCO,Helicopter,Turboprop/Turboshaft
BELL,TH-13N,B47J,Helicopter,Piston
BELL,TH-13T,B47G,Helicopter,Piston
BELL,TH-57 SeaRanger,B06,Helicopter,Turboprop/Turboshaft
BELL,TH-67 Creek,B06,Helicopter,Turboprop/Turboshaft
BELL,TH-206,B06,Helicopter,Turboprop/Turboshaft
BELL,Trooper,B47G,Helicopter,Piston
BELL,Twin Two-Twelve,B212,Helicopter,Turboprop/Turboshaft
BELL,TwinRanger,B06T,Helicopter,Turboprop/Turboshaft
BELL,UH-1A Iroquois,UH1,Helicopter,Turboprop/Turboshaft
BELL,UH-1B Iroquois,UH1,Helicopter,Turboprop/Turboshaft
BELL,UH-1C Iroquois,UH1,Helicopter,Turboprop/Turboshaft
BELL,UH-1D Iroquois,UH1,Helicopter,Turboprop/Turboshaft
BELL,UH-1E Iroquois,UH1,Helicopter,Turboprop/Turboshaft
BELL,UH-1F Iroquois,UH1,Helicopter,Turboprop/Turboshaft
BELL,UH-1H Iroquois,UH1,Helicopter,Turboprop/Turboshaft
BELL,UH-1L Iroquois,UH1,Helicopter,Turboprop/Turboshaft
BELL,UH-1M Iroquois,UH1,Helicopter,Turboprop/Turboshaft
BELL,UH-1N,B212,Helicopter,Turboprop/Turboshaft
BELL,UH-1V Iroquois,UH1,Helicopter,Turboprop/Turboshaft
BELL,UH-1Y,UH1Y,Helicopter,Turboprop/Turboshaft
BELL,UH-13H,B47G,Helicopter,Piston
BELL,UH-13J,B47J,Helicopter,Piston
BELL,UH-13P,B47J,Helicopter,Piston
BELL,UH-13R,B47J,Helicopter,Piston
BELL,VH-1,B212,Helicopter,Turboprop/Turboshaft
BELL,VH-4 JetRanger,B06,Helicopter,Turboprop/Turboshaft
BELL,XV-15,XV15,Tiltrotor,Turboprop/Turboshaft
BELL,505 Jet Ranger X,B505,Helicopter,Turboprop/Turboshaft
BELL,Jet Ranger X,B505,Helicopter,Turboprop/Turboshaft
BELL,412 Griffin,B412,Helicopter,Turboprop/Turboshaft
BELL,525 Relentless,B525,Helicopter,Turboprop/Turboshaft
BELL,Relentless,B525,Helicopter,Turboprop/Turboshaft
BELL,V-280 Valor,V280,Tiltrotor,Turboprop/Turboshaft
BELL,Valor,V280,Tiltrotor,Turboprop/Turboshaft
BELL-AGUSTA,AB-139,A139,Helicopter,Turboprop/Turboshaft
BELL-AGUSTA,BA-609,B609,Tiltrotor,Turboprop/Turboshaft
BELL-BOEING,901 Osprey,V22,Tiltrotor,Turboprop/Turboshaft
BELL-BOEING,CV-22 Osprey,V22,Tiltrotor,Turboprop/Turboshaft
BELL-BOEING,MV-22 Osprey,V22,Tiltrotor,Turboprop/Turboshaft
BELL-BOEING,Osprey,V22,Tiltrotor,Turboprop/Turboshaft
BELL-BOEING,V-22 Osprey,V22,Tiltrotor,Turboprop/Turboshaft
BELLANCA,7ACA Champ,CH7A,Fixed-Wing,Piston
BELLANCA,7ECA Citabria,CH7A,Fixed-Wing,Piston
BELLANCA,7GCBC Citabria,CH7B,Fixed-Wing,Piston
BELLANCA,7KCAB Citabria,CH7B,Fixed-Wing,Piston
BELLANCA,8 Decathlon,BL8,Fixed-Wing,Piston
BELLANCA,8 Scout,BL8,Fixed-Wing,Piston
BELLANCA,14 Bellanca 260A,B14C,Fixed-Wing,Piston
BELLANCA,14 Bellanca 260B,B14C,Fixed-Wing,Piston
BELLANCA,14 Bellanca 260C,B14C,Fixed-Wing,Piston
BELLANCA,14 Cruisair,B14A,Fixed-Wing,Piston
BELLANCA,14 Cruisair Senior,B14A,Fixed-Wing,Piston
BELLANCA,14 Cruisemaster,B14A,Fixed-Wing,Piston
BELLANCA,14 Junior,B14A,Fixed-Wing,Piston
BELLANCA,17 Super Viking,BL17,Fixed-Wing,Piston
BELLANCA,17 Turbo Super Viking,BL17,Fixed-Wing,Piston
BELLANCA,17 Turbo Viking,BL17,Fixed-Wing,Piston
BELLANCA,17 Viking,BL17,Fixed-Wing,Piston
BELLANCA,19 Skyrocket,BL19,Fixed-Wing,Piston
BELLANCA,Aries,T250,Fixed-Wing,Piston
BELLANCA,Bellanca 260A,B14C,Fixed-Wing,Piston
BELLANCA,Bellanca 260B,B14C,Fixed-Wing,Piston
BELLANCA,Bellanca 260C,B14C,Fixed-Wing,Piston
BELLANCA,Champ,CH7A,Fixed-Wing,Piston
BELLANCA,Citabria (7ECA),CH7A,Fixed-Wing,Piston
BELLANCA,Citabria (7GCBC/7KCAB),CH7B,Fixed-Wing,Piston
BELLANCA,Cruisair,B14A,Fixed-Wing,Piston
BELLANCA,Cruisair Senior,B14A,Fixed-Wing,Piston
BELLANCA,Cruisemaster,B14A,Fixed-Wing,Piston
BELLANCA,Decathlon,BL8,Fixed-Wing,Piston
BELLANCA,DW-1 Eagle,DW1,Fixed-Wing,Piston
BELLANCA,Eagle,DW1,Fixed-Wing,Piston
BELLANCA,Junior,B14A,Fixed-Wing,Piston
BELLANCA,Scout,BL8,Fixed-Wing,Piston
BELLANCA,Super Viking,BL17,Fixed-Wing,Piston
BELLANCA,T-250 Aries,T250,Fixed-Wing,Piston
BELLANCA,Turbo Super Viking,BL17,Fixed-Wing,Piston
BELLANCA,Turbo Viking,BL17,Fixed-Wing,Piston
BELLANCA,Viking,BL17,Fixed-Wing,Piston
BELLANCA,CH-300 Pacemaker,PACE,Fixed-Wing,Piston
BELLANCA,CH-400 Skyrocket,PACE,Fixed-Wing,Piston
BELLANCA,D Skyrocket,PACE,Fixed-Wing,Piston
BELLANCA,31 Senior Skyrocket,PACE,Fixed-Wing,Piston
BELLANCA,Pacemaker,PACE,Fixed-Wing,Piston
BELLANCA,Skyrocket (D),PACE,Fixed-Wing,Piston
BELLANCA,Skyrocket (CH-400),PACE,Fixed-Wing,Piston
BELLANCA,Senior Skyrocket,PACE,Fixed-Wing,Piston
BELLANCA,Skyrocket (19),BL19,Fixed-Wing,Piston
BELLANCA,51,T250,Fixed-Wing,Piston
BENGIS,Flamingo 3,PA34,Fixed-Wing,Piston
BENGIS,TM-20 Flamingo 3,PA34,Fixed-Wing,Piston
BERIEV,A-40 Albatross,BER4,Amphibian,Jet
BERIEV,A-50,A50,Fixed-Wing,Jet
BERIEV,Albatross,BER4,Amphibian,Jet
BERIEV,Altair,BER2,Amphibian,Jet
BERIEV,Be-12 Tchaika,BE12,Amphibian,Turboprop/Turboshaft
BERIEV,Be-30,BE32,Fixed-Wing,Turboprop/Turboshaft
BERIEV,Be-32,BE32,Fixed-Wing,Turboprop/Turboshaft
BERIEV,Be-103 Bekas,B103,Amphibian,Piston
BERIEV,Be-200 Altair,BER2,Amphibian,Jet
BERIEV,Be-976,A50,Fixed-Wing,Jet
BERIEV,Bekas,B103,Amphibian,Piston
BERIEV,SA-20,SA20,Amphibian,Piston
BERIEV,Tchaika,BE12,Amphibian,Turboprop/Turboshaft
BERKUT,Berkut,BKUT,Fixed-Wing,Piston
BEST OFF,Sky Ranger,SKRA,Fixed-Wing,Piston
BEST OFF,Nynja,NNJA,Fixed-Wing,Piston
BHARAT,LT-1 Swati,SWAT,Fixed-Wing,Piston
BHARAT,LT-2 Swati,SWAT,Fixed-Wing,Piston
BHARAT,Swati,SWAT,Fixed-Wing,Piston
BILLIE,Pétrel,PETR,Amphibian,Piston
BILSAM,Sky Cruiser,BISC,Fixed-Wing,Piston
BINDER (1),CP-301 Smaragd,CP30,Fixed-Wing,Piston
BINDER (1),Smaragd,CP30,Fixed-Wing,Piston
BINDER (2),ASH-25EB,AS25,Fixed-Wing,Piston
BINDER (2),EB-28,AS25,Fixed-Wing,Piston
BINDER (2),EB-29,EB29,Fixed-Wing,Piston
BINDER (2),EB-29D,EB29,Fixed-Wing,Piston
BINDER (2),EB-29DE,E29E,Fixed-Wing,Electric
BINDER (2),Eta,ETA,Fixed-Wing,Piston
BITZ,Bü-133 Jungmeister,BU33,Fixed-Wing,Piston
BITZ,Jungmeister,BU33,Fixed-Wing,Piston
BLACKBURN,Swordfish,SWOR,Fixed-Wing,Piston
BLACKSHAPE,Bk-100 Prime,PRIM,Fixed-Wing,Piston
BLACKSHAPE,Prime,PRIM,Fixed-Wing,Piston
BLACKSHAPE,Bk-160 Gabriel,GABR,Fixed-Wing,Piston
BLACKSHAPE,BS-115 Gabriel,GABR,Fixed-Wing,Piston
BLACKSHAPE,Gabriel,GABR,Fixed-Wing,Piston
BLACKWING,BW-600,BW60,Fixed-Wing,Piston
BLACKWING,BW-635,BW6T,Fixed-Wing,Piston
BLERIOT,11,BL11,Fixed-Wing,Piston
BLERIOT,11 Replica,BL11,Fixed-Wing,Piston
BLUE YONDER,E-Z Flyer,EZFL,Fixed-Wing,Piston
BLUE YONDER,E-Z Harvard,EZHV,Fixed-Wing,Piston
BLUE YONDER,E-Z King Cobra,EZKC,Fixed-Wing,Piston
BLUE YONDER,Merlin,MAME,Fixed-Wing,Piston
BLUE YONDER,Twin E-Z Flyer,EZFT,Fixed-Wing,Piston
BOEING,75 Kaydet,ST75,Fixed-Wing,Piston
BOEING,707-100,B701,Fixed-Wing,Jet
BOEING,707-300,B703,Fixed-Wing,Jet
BOEING,717-200,B712,Fixed-Wing,Jet
BOEING,717-200 Business Express,B712,Fixed-Wing,Jet
BOEING,720,B720,Fixed-Wing,Jet
BOEING,727-100,B721,Fixed-Wing,Jet
BOEING,727-100RE Super 27,R721,Fixed-Wing,Jet
BOEING,727-200,B722,Fixed-Wing,Jet
BOEING,787-10 Dreamliner,B78X,Fixed-Wing,Jet
BOEING,727-200RE Super 27,R722,Fixed-Wing,Jet
BOEING,737-200,B732,Fixed-Wing,Jet
BOEING,737-200 Surveiller,B732,Fixed-Wing,Jet
BOEING,737-300,B733,Fixed-Wing,Jet
BOEING,737-400,B734,Fixed-Wing,Jet
BOEING,737-500,B735,Fixed-Wing,Jet
BOEING,737-600,B736,Fixed-Wing,Jet
BOEING,737-700,B737,Fixed-Wing,Jet
BOEING,737-700 BBJ,B737,Fixed-Wing,Jet
BOEING,737-700 Wedgetail,E737,Fixed-Wing,Jet
BOEING,737-800,B738,Fixed-Wing,Jet
BOEING,737-800 BBJ2,B738,Fixed-Wing,Jet
BOEING,737-900,B739,Fixed-Wing,Jet
BOEING,737-900 BBJ3,B739,Fixed-Wing,Jet
BOEING,747-100,B741,Fixed-Wing,Jet
BOEING,747-200,B742,Fixed-Wing,Jet
BOEING,747-300,B743,Fixed-Wing,Jet
BOEING,747-400LCF Dreamlifter,BLCF,Fixed-Wing,Jet
BOEING,747SP,B74S,Fixed-Wing,Jet
BOEING,747SR,B74R,Fixed-Wing,Jet
BOEING,757-200,B752,Fixed-Wing,Jet
BOEING,757-300,B753,Fixed-Wing,Jet
BOEING,767-200,B762,Fixed-Wing,Jet
BOEING,767-300,B763,Fixed-Wing,Jet
BOEING,767-400,B764,Fixed-Wing,Jet
BOEING,777-200,B772,Fixed-Wing,Jet
BOEING,777-200ER,B772,Fixed-Wing,Jet
BOEING,777-200LR,B77L,Fixed-Wing,Jet
BOEING,777-300,B773,Fixed-Wing,Jet
BOEING,777-300ER,B77W,Fixed-Wing,Jet
BOEING,787-8 Dreamliner,B788,Fixed-Wing,Jet
BOEING,787-9 Dreamliner,B789,Fixed-Wing,Jet
BOEING,AH-64 Longbow Apache,H64,Helicopter,Turboprop/Turboshaft
BOEING,AV-8 Harrier,HAR,Fixed-Wing,Jet
BOEING,B-17 Flying Fortress,B17,Fixed-Wing,Piston
BOEING,B-29 Superfortress,B29,Fixed-Wing,Piston
BOEING,B-52 Stratofortress,B52,Fixed-Wing,Jet
BOEING,BBJ2,B738,Fixed-Wing,Jet
BOEING,BBJ3,B739,Fixed-Wing,Jet
BOEING,Business Express,B712,Fixed-Wing,Jet
BOEING,C-17 Globemaster 3,C17,Fixed-Wing,Jet
BOEING,C-18,B703,Fixed-Wing,Jet
BOEING,C-22,B721,Fixed-Wing,Jet
BOEING,C-32,B752,Fixed-Wing,Jet
BOEING,C-40,B737,Fixed-Wing,Jet
BOEING,C-40 Clipper,B737,Fixed-Wing,Jet
BOEING,C-97 Stratofreighter,C97,Fixed-Wing,Piston
BOEING,C-135FR Stratotanker,K35R,Fixed-Wing,Jet
BOEING,C-137,B703,Fixed-Wing,Jet
BOEING,CH-47 Chinook,H47,Helicopter,Turboprop/Turboshaft
BOEING,Chinook,H47,Helicopter,Turboprop/Turboshaft
BOEING,Clipper,B737,Fixed-Wing,Jet
BOEING,CT-43,B732,Fixed-Wing,Jet
BOEING,Defender,H500,Helicopter,Turboprop/Turboshaft
BOEING,777-F,B77L,Fixed-Wing,Jet
BOEING,NC-135,C135,Fixed-Wing,Jet
BOEING,TC-135,R135,Fixed-Wing,Jet
BOEING,Dreamlifter,BLCF,Fixed-Wing,Jet
BOEING,Dreamliner (Srs.8),B788,Fixed-Wing,Jet
BOEING,Dreamliner (Srs.9),B789,Fixed-Wing,Jet
BOEING,E-3A (CFM56) Sentry,E3CF,Fixed-Wing,Jet
BOEING,E-3A (TF33) Sentry,E3TF,Fixed-Wing,Jet
BOEING,E-3B Sentry,E3TF,Fixed-Wing,Jet
BOEING,E-3C Sentry,E3TF,Fixed-Wing,Jet
BOEING,E-3D Sentry,E3CF,Fixed-Wing,Jet
BOEING,E-3F Sentry,E3CF,Fixed-Wing,Jet
BOEING,E-4,B742,Fixed-Wing,Jet
BOEING,E-6 Mercury,E6,Fixed-Wing,Jet
BOEING,E-8 J-Stars,B703,Fixed-Wing,Jet
BOEING,E-767,E767,Fixed-Wing,Jet
BOEING,Eagle,F15,Fixed-Wing,Jet
BOEING,EC-18,B703,Fixed-Wing,Jet
BOEING,EC-137,B703,Fixed-Wing,Jet
BOEING,Explorer,EXPL,Helicopter,Turboprop/Turboshaft
BOEING,F-15 Eagle,F15,Fixed-Wing,Jet
BOEING,F-15 Ra'am,F15,Fixed-Wing,Jet
BOEING,Flying Fortress,B17,Fixed-Wing,Piston
BOEING,Globemaster 3,C17,Fixed-Wing,Jet
BOEING,Hornet,F18H,Fixed-Wing,Jet
BOEING,FA-18C Hornet,F18H,Fixed-Wing,Jet
BOEING,Goshawk,HAWK,Fixed-Wing,Jet
BOEING,Harrier,HAR,Fixed-Wing,Jet
BOEING,HH-47,H47,Helicopter,Turboprop/Turboshaft
BOEING,JE-3 Sentry,E3TF,Fixed-Wing,Jet
BOEING,J-Stars,B703,Fixed-Wing,Jet
BOEING,Kaydet,ST75,Fixed-Wing,Piston
BOEING,KC-135E Stratotanker,K35E,Fixed-Wing,Jet
BOEING,KC-135R Stratotanker,K35R,Fixed-Wing,Jet
BOEING,KC-135T Stratotanker,K35R,Fixed-Wing,Jet
BOEING,KC-137,B703,Fixed-Wing,Jet
BOEING,KC-767,B762,Fixed-Wing,Jet
BOEING,KE-3,KE3,Fixed-Wing,Jet
BOEING,Lifter,H500,Helicopter,Turboprop/Turboshaft
BOEING,Longbow Apache,H64,Helicopter,Turboprop/Turboshaft
BOEING,MD-10,DC10,Fixed-Wing,Jet
BOEING,MD-11,MD11,Fixed-Wing,Jet
BOEING,MD-81,MD81,Fixed-Wing,Jet
BOEING,MD-82,MD82,Fixed-Wing,Jet
BOEING,MD-83,MD83,Fixed-Wing,Jet
BOEING,MD-87,MD87,Fixed-Wing,Jet
BOEING,MD-88,MD88,Fixed-Wing,Jet
BOEING,MD-90,MD90,Fixed-Wing,Jet
BOEING,MD-500,H500,Helicopter,Turboprop/Turboshaft
BOEING,MD-500 Defender,H500,Helicopter,Turboprop/Turboshaft
BOEING,MD-500 Nightfox,H500,Helicopter,Turboprop/Turboshaft
BOEING,MD-520N,MD52,Helicopter,Turboprop/Turboshaft
BOEING,MD-530F Lifter,H500,Helicopter,Turboprop/Turboshaft
BOEING,MD-530MG Defender,H500,Helicopter,Turboprop/Turboshaft
BOEING,MD-530MG Nightfox,H500,Helicopter,Turboprop/Turboshaft
BOEING,MD-600N,MD60,Helicopter,Turboprop/Turboshaft
BOEING,MD-902 Explorer,EXPL,Helicopter,Turboprop/Turboshaft
BOEING,Mercury,E6,Fixed-Wing,Jet
BOEING,MH-47 Chinook,H47,Helicopter,Turboprop/Turboshaft
BOEING,N2S Kaydet,ST75,Fixed-Wing,Piston
BOEING,Nightfox,H500,Helicopter,Turboprop/Turboshaft
BOEING,OC-135,C135,Fixed-Wing,Jet
BOEING,PT-13 Kaydet,ST75,Fixed-Wing,Piston
BOEING,PT-17 Kaydet,ST75,Fixed-Wing,Piston
BOEING,PT-18 Kaydet,ST75,Fixed-Wing,Piston
BOEING,PT-27 Kaydet,ST75,Fixed-Wing,Piston
BOEING,Ra'am,F15,Fixed-Wing,Jet
BOEING,RC-135,R135,Fixed-Wing,Jet
BOEING,Sentry (CFM56),E3CF,Fixed-Wing,Jet
BOEING,Sentry (TF33),E3TF,Fixed-Wing,Jet
BOEING,Stratofortress,B52,Fixed-Wing,Jet
BOEING,Stratofreighter,C97,Fixed-Wing,Piston
BOEING,Stratotanker (CFM56 engines),K35R,Fixed-Wing,Jet
BOEING,Stratotanker (TF33 engines),K35E,Fixed-Wing,Jet
BOEING,Super 27 (100),R721,Fixed-Wing,Jet
BOEING,Super 27 (200),R722,Fixed-Wing,Jet
BOEING,Superfortress,B29,Fixed-Wing,Piston
BOEING,Surveiller,B732,Fixed-Wing,Jet
BOEING,T-45 Goshawk,HAWK,Fixed-Wing,Jet
BOEING,VC-25,B742,Fixed-Wing,Jet
BOEING,VC-96,B732,Fixed-Wing,Jet
BOEING,WC-135,C135,Fixed-Wing,Jet
BOEING,Wedgetail,E737,Fixed-Wing,Jet
BOEING,FA-18D Hornet,F18H,Fixed-Wing,Jet
BOEING,737-800 Poseidon,P8,Fixed-Wing,Jet
BOEING,CC-177 Globemaster 3,C17,Fixed-Wing,Jet
BOEING,P-8 Poseidon,P8,Fixed-Wing,Jet
BOEING,Poseidon,P8,Fixed-Wing,Jet
BOEING,F-15 Slam Eagle,F15,Fixed-Wing,Jet
BOEING,Slam Eagle,F15,Fixed-Wing,Jet
BOEING,JCH-47 Chinook,H47,Helicopter,Turboprop/Turboshaft
BOEING,747-8,B748,Fixed-Wing,Jet
BOEING,737-700 AEWC,E737,Fixed-Wing,Jet
BOEING,AH-64 Saraf,H64,Helicopter,Turboprop/Turboshaft
BOEING,Saraf,H64,Helicopter,Turboprop/Turboshaft
BOEING,Growler,F18S,Fixed-Wing,Jet
BOEING,EA-18 Growler,F18S,Fixed-Wing,Jet
BOEING,777-8,B778,Fixed-Wing,Jet
BOEING,777-9,B779,Fixed-Wing,Jet
BOEING,Super Hornet,F18S,Fixed-Wing,Jet
BOEING,FA-18E Super Hornet,F18S,Fixed-Wing,Jet
BOEING,FA-18F Super Hornet,F18S,Fixed-Wing,Jet
BOEING,NEA-18 Growler,F18S,Fixed-Wing,Jet
BOEING,Dreamliner (Srs.10),B78X,Fixed-Wing,Jet
BOEING,747-8 BBJ,B748,Fixed-Wing,Jet
BOEING,BBJ (747-8),B748,Fixed-Wing,Jet
BOEING,777-200LR BBJ,B77L,Fixed-Wing,Jet
BOEING,BBJ (777-200LR),B77L,Fixed-Wing,Jet
BOEING,777-300ER BBJ,B77W,Fixed-Wing,Jet
BOEING,BBJ (777-300ER),B77W,Fixed-Wing,Jet
BOEING,787-8 BBJ,B788,Fixed-Wing,Jet
BOEING,BBJ (787-8),B788,Fixed-Wing,Jet
BOEING,787-9 BBJ,B789,Fixed-Wing,Jet
BOEING,BBJ (787-9),B789,Fixed-Wing,Jet
BOEING,737 MAX 7,B37M,Fixed-Wing,Jet
BOEING,737 MAX 7 BBJ,B37M,Fixed-Wing,Jet
BOEING,737 MAX 8,B38M,Fixed-Wing,Jet
BOEING,737 MAX 8 BBJ,B38M,Fixed-Wing,Jet
BOEING,737 MAX 9,B39M,Fixed-Wing,Jet
BOEING,737 MAX 9 BBJ,B39M,Fixed-Wing,Jet
BOEING,737 MAX 8200,B38M,Fixed-Wing,Jet
BOEING,737-8200,B38M,Fixed-Wing,Jet
BOEING,451 Scout,YL15,Fixed-Wing,Piston
BOEING,YL-15 Scout,YL15,Fixed-Wing,Piston
BOEING,Scout,YL15,Fixed-Wing,Piston
BOEING,BBJ (737-700),B737,Fixed-Wing,Jet
BOEING,BBJ (737 MAX 7),B37M,Fixed-Wing,Jet
BOEING,BBJ (737 MAX 8),B38M,Fixed-Wing,Jet
BOEING,BBJ (737 MAX 9),B39M,Fixed-Wing,Jet
BOEING,747-400,B744,Fixed-Wing,Jet
BOEING,40,BO40,Fixed-Wing,Piston
BOEING,KC-46 Pegasus,B762,Fixed-Wing,Jet
BOEING,Pegasus,B762,Fixed-Wing,Jet
BOEING,T-7 Red Hawk,BT7,Fixed-Wing,Jet
BOEING,Red Hawk,BT7,Fixed-Wing,Jet
BOEING,BTX-1,BT7,Fixed-Wing,Jet
BOEING,737-7,B37M,Fixed-Wing,Jet
BOEING,737-8,B38M,Fixed-Wing,Jet
BOEING,737-9,B39M,Fixed-Wing,Jet
BOEING,737-10,B3XM,Fixed-Wing,Jet
BOEING,737 MAX 10,B3XM,Fixed-Wing,Jet
BOEING,MQ-25 Stingray,Q25,Fixed-Wing,Jet
BOEING,Stingray,Q25,Fixed-Wing,Jet
BOEING CANADA,Canso,CAT,Amphibian,Piston
BOEING CANADA,Catalina,CAT,Amphibian,Piston
BOEING CANADA,PBY Catalina,CAT,Amphibian,Piston
BOEING VERTOL,107,H46,Helicopter,Turboprop/Turboshaft
BOEING VERTOL,114,H47,Helicopter,Turboprop/Turboshaft
BOEING VERTOL,234,H47,Helicopter,Turboprop/Turboshaft
BOEING VERTOL,414,H47,Helicopter,Turboprop/Turboshaft
BOEING VERTOL,CH-46 Sea Knight,H46,Helicopter,Turboprop/Turboshaft
BOEING VERTOL,CH-47 Chinook,H47,Helicopter,Turboprop/Turboshaft
BOEING VERTOL,CH-113 Labrador,H46,Helicopter,Turboprop/Turboshaft
BOEING VERTOL,Chinook,H47,Helicopter,Turboprop/Turboshaft
BOEING VERTOL,HH-46 Sea Knight,H46,Helicopter,Turboprop/Turboshaft
BOEING VERTOL,Hkp4,H46,Helicopter,Turboprop/Turboshaft
BOEING VERTOL,JCH-47 Chinook,H47,Helicopter,Turboprop/Turboshaft
BOEING VERTOL,Labrador,H46,Helicopter,Turboprop/Turboshaft
BOEING VERTOL,MH-47 Chinook,H47,Helicopter,Turboprop/Turboshaft
BOEING VERTOL,Sea Knight,H46,Helicopter,Turboprop/Turboshaft
BOEING VERTOL,UH-46 Sea Knight,H46,Helicopter,Turboprop/Turboshaft
BOEING-LEONARDO,MH-139 Grey Wolf,A139,Helicopter,Turboprop/Turboshaft
BOEING-LEONARDO,Grey Wolf,A139,Helicopter,Turboprop/Turboshaft
BOEVE,P-51 Mustang,MJ7,Fixed-Wing,Piston
BOISAVIA,B-60 Mercurey,B60,Fixed-Wing,Piston
BOISAVIA,B-601 Mercurey,B60,Fixed-Wing,Piston
BOISAVIA,B-602 Mercurey,B60,Fixed-Wing,Piston
BOISAVIA,B-603 Mercurey,B60,Fixed-Wing,Piston
BOISAVIA,B-604 Mercurey,B60,Fixed-Wing,Piston
BOISAVIA,B-605 Mercurey,B60,Fixed-Wing,Piston
BOISAVIA,B-606 Mercurey,B60,Fixed-Wing,Piston
BOISAVIA,Mercurey,B60,Fixed-Wing,Piston
BOLKOW,BO-105,B105,Helicopter,Turboprop/Turboshaft
BOLKOW,BO-208 Junior,JUNR,Fixed-Wing,Piston
BOLKOW,BO-209 Monsun,B209,Fixed-Wing,Piston
BOLKOW,F-207,KL07,Fixed-Wing,Piston
BOLKOW,Junior,JUNR,Fixed-Wing,Piston
BOLKOW,Kl-107,KL07,Fixed-Wing,Piston
BOLKOW,Monsun,B209,Fixed-Wing,Piston
BOLKOW,BO-207,KL07,Fixed-Wing,Piston
BOMBARDIER,E-11,GLEX,Fixed-Wing,Jet
BOMBARDIER,BD-700 Global 7000,GL7T,Fixed-Wing,Jet
BOMBARDIER,Global 7000,GL7T,Fixed-Wing,Jet
BOMBARDIER,BD-100 Challenger 350,CL35,Fixed-Wing,Jet
BOMBARDIER,Challenger 350,CL35,Fixed-Wing,Jet
BOMBARDIER,CL-600 Challenger 650,CL60,Fixed-Wing,Jet
BOMBARDIER,Challenger 650,CL60,Fixed-Wing,Jet
BOMBARDIER,BD-500 CSeries CS100,BCS1,Fixed-Wing,Jet
BOMBARDIER,BD-500 CSeries CS300,BCS3,Fixed-Wing,Jet
BOMBARDIER,BD-700 Global 5500,GL5T,Fixed-Wing,Jet
BOMBARDIER,BD-700 Global 6500,GLEX,Fixed-Wing,Jet
BOMBARDIER,BD-700 Global 7500,GL7T,Fixed-Wing,Jet
